type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
Multifamily Housing,0,58000,91,1,100,76,1230.6,195537.2,3672.1,331.6
Multifamily Housing,0,60174,55,1,100,105.5,50846.5,358504.8,10417.4,375.7
Multifamily Housing,0,133323,78,1,100,80,88866.5,471970.9,6857.9,614.8
Multifamily Housing,0,89899,89,1,100,82.4,64770,264209.1,5796.9,422.8
Multifamily Housing,0,162384,57,1,100,69.9,83359.1,725474.4,4900.5,695
Multifamily Housing,0,66348,56,1,100,55.4,0,403474.9,1448.6,269.4
Multifamily Housing,0,250000,36,1,100,75.1,151540,1094010.8,10533.2,1117.9
Multifamily Housing,0,94477,80,1,100,92.5,75537.4,331689.9,4023.2,500.7
Multifamily Housing,0,136361,59,1,100,66.1,80057.3,341065.3,5821.3,516.7
Multifamily Housing,0,58000,91,1,100,19,1846,261942.5,4017.4,87.7
Multifamily Housing,0,64740,92,1,100,113.8,3403.6,342750,5462.2,558.4
Multifamily Housing,0,57456,55,1,100,105.4,49637.5,317410,8107.4,355.8
Multifamily Housing,0,93254,88,1,100,91.7,3745.3,279427,3559.2,644.4
Multifamily Housing,0,54570,92,1,100,83.2,36930.9,239404.5,3224.1,267.8
Multifamily Housing,0,84000,88,1,100,63.8,46527.9,240866.3,5242.2,310.6
Multifamily Housing,0,117366,82,1,100,79.8,78914,401892.8,6652.4,540.5
Multifamily Housing,0,116530,55,1,100,66.7,53316.9,389427.1,7719.9,479.2
Multifamily Housing,0,75255,82,1,100,66,40740.3,215150.6,3300.9,290.5
Multifamily Housing,0,62416,60,1,100,78.7,36793,241380.8,4991.8,296.1
Multifamily Housing,0,146880,57,1,100,98.1,109465.1,721358.9,15747.2,864.4
Multifamily Housing,0,85500,65,1,100,102.6,74564.5,280233.3,8361.1,504.6
Multifamily Housing,0,125276,81,1,100,85.1,84529.8,462471.6,15048.3,632
Multifamily Housing,0,184843,56,1,100,97.5,134609,835082,18584.6,1083
Multifamily Housing,0,84600,78,1,100,66.3,48171.6,221864,5230.4,322.7
Multifamily Housing,0,81144,88,1,100,67.5,41464.6,236367.2,6906.3,328.3
Multifamily Housing,0,81900,64,1,100,65.8,4158,261947.6,5087.8,400.4
Multifamily Housing,0,120600,70,83,100,139,146537.6,588799.4,10727.6,955.4
Multifamily Housing,0,147700,70,98,100,144.1,190974.9,713033.4,11769,1209.5
Medical Office,0,61058,98,1,100,94.8,8,890902.4,3134.3,461.7
Multifamily Housing,0,320000,39,1,100,63.5,100119.1,2976230.1,13491.1,1405.3
Multifamily Housing,0,151127,57,1,100,79.2,82395,940061,6330.1,750.3
Multifamily Housing,0,123329,97,1,100,73.8,63019.4,840375.9,6496.6,574.8
Multifamily Housing,0,88837,23,1,100,84.3,38556.9,1044523.6,3905.9,512.3
Multifamily Housing,0,126000,77,1,100,75.7,79391.3,455590.8,4283.4,555.5
Multifamily Housing,0,60000,85,1,100,79.1,41107.8,179073,2455.1,271.5
Hospital (General Medical & Surgical),0,220240,69,1,100,391.5,636210.8,5842708.9,8544,5263.2
Outpatient Rehabilitation/Physical Therapy,0,164806,31,1,100,81,1068.1,3842655.6,3460.1,1126.8
Residential Care Facility,0,66242,50,1,100,136.7,53277.3,1078865.7,7590.3,598.3
Multifamily Housing,0,64200,70,1,100,67.7,36674.9,193361.9,1863.4,251.7
Multifamily Housing,0,62400,78,1,100,92.6,50957.9,238437.9,6129.2,333
Multifamily Housing,0,55625,57,1,100,63,48622.3,49021.8,6379.2,272.5
Office,0,127000,97,1,80,123.9,30892.1,1525396.8,5796.9,1157.5
Multifamily Housing,0,67680,102,1,100,75.6,38458.3,386159.8,3511.4,314
Multifamily Housing,0,90000,64,1,100,92.8,2354.6,399000,3102.2,636.5
Multifamily Housing,0,121556,84,1,100,72.7,75524.5,359347.7,3689.1,508.9
Multifamily Housing,0,88195,58,1,100,89,59575.3,457992.1,3035.6,474.3
Senior Care Community,0,72673,47,1,100,86.7,21698,1197787.4,7293.5,465.2
Multifamily Housing,0,162293,67,1,100,47.7,65875.4,321255.1,3830,446.6
Multifamily Housing,0,97485,13,1,100,75.1,63131,317429.2,2906.6,423.9
Multifamily Housing,0,154451,58,1,100,65.5,69655,900851.7,6588.8,636.7
Multifamily Housing,0,110000,87,1,100,83.6,71947.3,560745.9,4476.5,550.6
Hotel,0,130000,93,1,100,171.2,30949,2893943.4,10577.4,1699.7
Office,0,129837,116,1,95,156.2,55912.6,2771163.1,8681.2,1447.7
Multifamily Housing,0,145719,99,1,100,307.5,427002.6,599173.4,4899.6,2446.6
Multifamily Housing,0,66000,97,1,100,66.6,37771.3,176901.2,4307.3,252.7
Manufacturing/Industrial Plant,0,309651,88,1,100,62.5,125925.3,1706820.2,10912.6,1231.5
Multifamily Housing,0,59987,11,1,100,85.3,36162.4,444275.3,5476.5,320.8
Multifamily Housing,0,94870,13,1,100,79.3,45999.1,864491.9,2630.8,494.5
Multifamily Housing,0,212616,54,2,100,13.4,3560,718464.5,9702.1,230.5
Office,0,97180,119,1,100,58,4,726528.9,681,444.4
Multifamily Housing,0,55680,89,1,100,61.9,28481.9,179374,5105.3,202.3
Multifamily Housing,0,62919,62,1,100,59.8,30209.6,212560.7,1724.1,222.8
Multifamily Housing,0,124382,55,1,100,61.1,52891.2,689383,5436.8,478
Multifamily Housing,0,84192,57,1,100,126.4,97858,328116.5,4438.1,601.6
Multifamily Housing,0,57780,34,1,100,58.3,28599.6,159531.6,2008.2,196.3
Multifamily Housing,0,59154,32,1,100,72.5,33555.3,223409.6,2349.6,255.8
Multifamily Housing,0,53000,92,1,100,90.4,38966.7,252667.4,3924.6,282.4
Multifamily Housing,0,53000,92,1,100,90.4,38966.7,252667.4,3924.6,282.4
Multifamily Housing,0,66714,87,1,100,96,55053.1,252579.2,4096.3,368.3
Multifamily Housing,0,64921,87,1,100,87.2,48344.7,252962,4516.7,328.1
Multifamily Housing,0,88740,97,1,100,86.2,66017.6,297463.1,9553.4,438.1
Multifamily Housing,0,133326,56,1,100,108.2,117737,747470.5,9703,847.8
Multifamily Housing,0,63145,89,1,100,84.7,46473.4,196877.6,2766.2,305.9
Multifamily Housing,0,63492,82,1,100,76.8,42537.6,174140.5,2179.1,278.4
Multifamily Housing,0,64758,82,1,100,84.3,47730,191173.1,1804.3,311.3
Multifamily Housing,0,64758,82,1,100,84.3,47730,191173.1,1804.3,311.3
Multifamily Housing,0,69348,80,1,100,85,50926.5,221457.8,2013,337.6
Multifamily Housing,0,69348,80,1,100,85,50926.5,221457.8,2013,337.6
Multifamily Housing,0,80880,85,1,100,80.5,53029.2,341525.9,3714.6,383.7
Multifamily Housing,0,94881,64,1,100,68.4,53827.7,313144.6,5733,378.7
Multifamily Housing,0,59851,79,1,100,95.2,50173.6,190338.9,2615.2,323.9
Multifamily Housing,0,79800,58,1,100,84.9,55172.5,356437.8,5255.4,398.8
Multifamily Housing,0,80801,58,1,100,88.6,54727.2,480421.7,5036.7,432.6
Multifamily Housing,0,64703,58,1,100,82.9,43872.4,275898.7,5086.3,314.9
Office,0,266042,89,1,75,46.2,22386.5,2940041.4,3345.8,971.1
Multifamily Housing,0,58000,91,8,100,106.4,53308.5,235968.8,4472.8,354.1
Multifamily Housing,0,58000,91,8,100,106.4,53308.5,235968.8,4472.8,354.1
Multifamily Housing,0,53840,91,7,100,115.3,54538,224028.7,4554.4,354.6
Multifamily Housing,0,53840,91,7,100,115.3,54538,224028.7,4554.4,354.6
Multifamily Housing,0,51000,82,1,100,69.8,31194.5,122988.9,2566.9,202.5
Multifamily Housing,0,51000,82,1,100,69.8,31194.5,122988.9,2566.9,202.5
Multifamily Housing,0,63960,85,1,100,87.5,48890.4,198307.5,3313.8,319.1
Multifamily Housing,0,63960,85,1,100,87.5,48890.4,198307.5,3313.8,319.1
Multifamily Housing,0,71282,83,1,100,80.9,49585.5,225197.9,3276.2,331
Multifamily Housing,0,71282,83,1,100,80.9,49585.5,225197.9,3276.2,331
Multifamily Housing,0,54307,83,1,100,69.4,31822.9,164612.9,2840,218.3
Multifamily Housing,0,54307,83,1,100,69.4,31822.9,164612.9,2840,218.3
Multifamily Housing,0,104225,78,1,100,121,102985.2,670101.1,2021.2,743.3
Multifamily Housing,0,84000,80,1,100,81.2,58432.1,271992.3,4744.2,391.9
Multifamily Housing,0,42200,88,1,100,87.3,31418.4,165441.1,5322.3,214.3
Multifamily Housing,0,60494,89,1,100,107.9,58675.3,182876.5,3538.3,366.8
Multifamily Housing,0,60494,89,1,100,107.9,58675.3,182876.5,3538.3,366.8
Multifamily Housing,0,84543,68,1,100,88.8,66901.3,242263.6,4636.7,425.5
Multifamily Housing,0,50840,105,1,100,116.6,52126.3,199873.7,6177.3,336.9
Multifamily Housing,0,50840,105,1,100,116.6,52126.3,199873.7,6177.3,336.9
Multifamily Housing,0,94990,69,1,100,74.8,64187.9,207554,5350.1,400.3
Multifamily Housing,0,101650,69,1,100,72.5,63617.6,280724.4,5693.8,422.3
Multifamily Housing,0,72312,109,1,100,101.6,57277.3,457972.6,4338.7,440.5
Multifamily Housing,0,60106,68,1,100,107.6,53747.6,246287.7,3570.5,375.4
Multifamily Housing,0,135000,113,1,100,72.6,71993.4,751956.2,3105.2,601.7
Multifamily Housing,0,138120,69,1,100,75.3,87028.2,489854.5,6047.3,607
Multifamily Housing,0,194450,68,1,100,84.9,138053.3,758833.8,13612.4,960.2
Multifamily Housing,0,74198,109,1,100,61.6,35425.3,291113.8,2173.8,275
Multifamily Housing,0,131340,67,1,100,90.3,100932.6,515327.5,7116.2,686.5
Multifamily Housing,0,106256,81,1,100,74.4,71799.6,218518.5,4891.9,444
Multifamily Housing,0,232900,58,1,100,76.2,155582,757785.3,6715.3,1025.3
Multifamily Housing,0,51000,62,1,100,70.6,31060.8,168966.1,1747.1,209.6
Multifamily Housing,0,37041,63,1,100,68.3,21732.1,121497.2,1014.4,147.6
Multifamily Housing,0,151000,63,1,100,84.2,105248.8,664342,9631.9,747.2
Multifamily Housing,0,68540,85,1,100,143.1,75973.3,630115.4,5703.1,590.1
Multifamily Housing,0,49735,93,1,100,84.6,6299.3,259973.8,1431.8,308.3
Multifamily Housing,0,49735,93,1,100,84.6,6299.3,259973.8,1431.8,308.3
Office,0,51269,104,1,100,65.9,21169.3,362465.7,341.1,219.3
Office,0,51269,104,1,100,65.9,21169.3,362465.7,341.1,219.3
Multifamily Housing,0,77310,89,1,100,79.5,51062.1,292598.3,2335.4,358.7
Multifamily Housing,0,77310,89,1,100,79.5,51062.1,292598.3,2335.4,358.7
Multifamily Housing,0,52782,112,1,100,76.2,1582,193601,1743,302.1
Multifamily Housing,0,52782,112,1,100,76.2,1582,193601,1743,302.1
Office,0,68590,108,1,100,60.2,1014.9,696164.5,207.9,329.4
Office,0,68590,108,1,100,60.2,1014.9,696164.5,207.9,329.4
Multifamily Housing,0,71126,106,1,100,70.2,40320.6,272727.1,2555,295.1
Multifamily Housing,0,71126,106,1,100,70.2,40320.6,272727.1,2555,295.1
Multifamily Housing,0,109476,82,1,100,80.1,76008.2,340452.7,3174.9,503.3
Multifamily Housing,0,109476,82,1,100,80.1,76008.2,340452.7,3174.9,503.3
Multifamily Housing,0,97260,82,1,100,92.9,77047.7,376097.1,3868.4,521.6
Multifamily Housing,0,97260,82,1,100,92.9,77047.7,376097.1,3868.4,521.6
Multifamily Housing,0,106957,68,1,100,79.2,64069.7,529766.4,6996.5,513.2
Multifamily Housing,0,106957,68,1,100,79.2,64069.7,529766.4,6996.5,513.2
Multifamily Housing,0,61218,67,1,100,95.6,43741.4,436031.3,2738.6,358.5
Multifamily Housing,0,61218,67,1,100,95.6,43741.4,436031.3,2738.6,358.5
Multifamily Housing,0,57672,67,1,100,85.7,38721.1,305275.7,2923.4,295.8
Multifamily Housing,0,57672,67,1,100,85.7,38721.1,305275.7,2923.4,295.8
Multifamily Housing,0,146508,66,3,100,122,154388.6,729066.9,11312,1028.4
Multifamily Housing,0,146508,66,3,100,122,154388.6,729066.9,11312,1028.4
Multifamily Housing,0,64248,67,1,100,79.5,43635.5,224716.5,4178.4,295.8
Multifamily Housing,0,64248,67,1,100,79.5,43635.5,224716.5,4178.4,295.8
Multifamily Housing,0,64248,67,1,100,92.1,51888.6,222081.3,2983.2,338.6
Multifamily Housing,0,64248,67,1,100,92.1,51888.6,222081.3,2983.2,338.6
Multifamily Housing,0,190725,90,2,100,58.6,85976.1,756868.5,4400.8,675.4
Multifamily Housing,0,190725,90,2,100,58.6,85976.1,756868.5,4400.8,675.4
Multifamily Housing,0,105552,90,1,100,66.2,2302.5,387308.9,3854,527.6
Multifamily Housing,0,105552,90,1,100,66.2,2302.5,387308.9,3854,527.6
Multifamily Housing,0,73524,67,1,100,77.8,48954.4,248520.9,4245.2,331
Multifamily Housing,0,73524,67,1,100,77.8,48954.4,248520.9,4245.2,331
Multifamily Housing,0,69384,67,1,100,83.9,51132.7,140849.3,3916.1,330.2
Multifamily Housing,0,69384,67,1,100,83.9,51132.7,140849.3,3916.1,330.2
Multifamily Housing,0,172362,68,1,100,77.8,113469.6,622151.5,7275.6,779.4
Multifamily Housing,0,172362,68,1,100,77.8,113469.6,622151.5,7275.6,779.4
Hotel,0,175000,103,1,50,250.5,21737.5,3538099,36050.1,3102
Multifamily Housing,0,68841,85,1,100,94.2,46134.6,545749.1,1414,403.5
Multifamily Housing,0,64248,67,1,100,86.5,48569.6,213120.6,3332.6,318.2
Multifamily Housing,0,64248,67,1,100,86.5,48569.6,213120.6,3332.6,318.2
Multifamily Housing,0,126552,67,1,100,82.8,90259.8,438635.7,5908.1,604.4
Multifamily Housing,0,126552,67,1,100,82.8,90259.8,438635.7,5908.1,604.4
Multifamily Housing,0,59900,67,1,100,92.2,48477,202473.4,2658,315.4
Multifamily Housing,0,59900,67,1,100,92.2,48477,202473.4,2658,315.4
Multifamily Housing,0,115000,59,1,100,83.5,76015.7,462586.2,3894.4,571.9
Multifamily Housing,0,115000,59,1,100,83.5,76015.7,462586.2,3894.4,571.9
Multifamily Housing,0,58020,82,1,100,92.9,47654.3,197790.6,2427.9,308.1
Multifamily Housing,0,58020,82,1,100,92.9,47654.3,197790.6,2427.9,308.1
Multifamily Housing,0,115824,90,1,100,67.9,62074.5,470585,4039.2,469.7
Multifamily Housing,0,92525,90,1,100,85,62074.5,470585,4039.2,469.7
Multifamily Housing,0,262109,31,1,100,69,130835.1,1489531.4,10998.6,1126.3
Multifamily Housing,0,262109,31,1,100,69,130835.1,1489531.4,10998.6,1126.3
Multifamily Housing,0,95796,57,1,100,145,119427.6,458333.2,4501.9,788.4
Multifamily Housing,0,95796,57,1,100,145,119427.6,458333.2,4501.9,788.4
Multifamily Housing,0,148873,90,1,100,74.9,3745.2,475092.3,4852.6,846.8
Multifamily Housing,0,148873,90,1,100,74.9,3745.2,475092.3,4852.6,846.8
Multifamily Housing,0,53600,67,1,100,109.3,51608.1,208618,3568.7,334
Multifamily Housing,0,53600,67,1,100,109.3,51608.1,208618,3568.7,334
Multifamily Housing,0,55459,99,1,100,63.8,4424,217388.4,643.6,261.1
Multifamily Housing,0,55459,99,1,100,63.8,4424,217388.4,643.6,261.1
Multifamily Housing,0,155526,65,2,100,77.3,102594.8,497937.8,8416.5,693.3
Multifamily Housing,0,71000,63,1,100,112.6,64378.2,347788.9,9502,469.4
Multifamily Housing,0,81032,78,1,100,82,54696.6,241654.7,2784.4,385.6
Multifamily Housing,0,78633,64,1,100,117.2,47183.1,274540.2,2203,597.1
Multifamily Housing,0,136314,61,1,100,73,78611.2,497979.8,7026.5,590.7
Multifamily Housing,0,84426,33,1,100,66.6,40117.5,485189.7,3780.3,352.4
Multifamily Housing,0,57000,90,1,100,101.4,8045.3,446816.1,2835.1,428.1
Multifamily Housing,0,69015,88,1,100,102.4,59634.7,299860.3,2264.7,413.5
Multifamily Housing,0,57138,87,1,100,88.5,44235.2,177490.8,2982.9,288.4
Multifamily Housing,0,54271,61,1,100,82.5,38583.9,178423.2,4072.8,257.7
Multifamily Housing,0,104646,81,1,100,99.9,75354.2,825792.8,9031.2,646.7
Multifamily Housing,0,87158,84,1,100,88.4,66501.6,302956.6,6416.2,442
Office,0,155827,94,1,100,82.1,43359.2,2448957.5,3085.9,943.7
Multifamily Housing,0,108790,92,1,100,61.7,54163.5,396426,8074.5,400.1
Multifamily Housing,0,67698,109,1,100,109.5,55219.1,576784.6,7661.2,456.1
Multifamily Housing,0,107175,81,1,100,94,84422.2,470233.5,8341.5,585.6
Multifamily Housing,0,121465,65,1,100,78.1,78339.4,447762.4,3645.3,560.5
Multifamily Housing,0,136413,64,1,100,87,104939.8,505276.2,6942.4,686.1
Multifamily Housing,0,156262,56,1,100,106.8,135298.6,670807,9043.2,977.4
Multifamily Housing,0,223856,57,1,100,76.8,132835.4,1128465.7,8219.7,1035.2
Multifamily Housing,0,158231,60,1,100,83.4,4248,444290.2,7053.4,999
Mixed Use Property,0,148673,64,8,100,139.9,86038.9,3543260,6359.9,1488.9
Multifamily Housing,0,69782,88,1,100,90.1,48351,420421,8383.9,379.4
Office,0,132174,95,1,100,71.8,10,1546085.7,1157.3,765
Multifamily Housing,0,483338,52,1,100,84.7,325643.2,2155951.1,15284.2,2436
Multifamily Housing,0,163286,64,1,100,65.9,88255,441967.7,4274.4,632.9
Multifamily Housing,0,54878,90,1,100,116.6,55215,249298.4,7812.8,366.6
Multifamily Housing,0,169147,35,1,100,9,2099.9,386733,4213.8,122.9
Multifamily Housing,0,49530,92,1,100,95.2,39315.3,220748.4,4843.6,274.9
Multifamily Housing,0,81888,57,1,100,90.8,61112.7,401230,6567.6,439.4
Multifamily Housing,0,52750,91,1,100,83.1,37244.1,184639,2654.1,253.3
Multifamily Housing,0,52750,91,1,100,83.1,37244.1,184639,2654.1,253.3
Multifamily Housing,0,65016,91,1,100,92.7,50614.6,272879.6,5831.9,350.2
Multifamily Housing,0,65976,81,1,100,89.3,46461.6,357359.4,3769.8,351.5
Multifamily Housing,0,65976,81,1,100,89.3,46461.6,357359.4,3769.8,351.5
Multifamily Housing,0,67056,88,1,100,90.6,53735.3,237967.5,2989.2,348.9
Multifamily Housing,0,67056,88,1,100,90.6,53735.3,237967.5,2989.2,348.9
Multifamily Housing,0,75600,88,1,100,75.6,47536.4,274917.3,5390.5,333
Multifamily Housing,0,75000,91,1,100,84.4,52920.2,338752.2,4653.2,373.6
Multifamily Housing,0,48414,99,1,100,83.1,29158.1,310384.2,1990.3,248.5
Multifamily Housing,0,48414,99,1,100,83.1,29158.1,310384.2,1990.3,248.5
Multifamily Housing,0,119185,90,1,100,97.3,95585.6,573398.4,12021.9,679.8
Multifamily Housing,0,68406,83,1,100,78.4,45349.2,251135.5,2280.1,312.1
Multifamily Housing,0,148548,58,2,100,80.3,86834.1,915802.9,10255.8,735.5
Multifamily Housing,0,53436,94,1,100,91.8,42316.9,189640.7,2564.3,281.6
Multifamily Housing,0,97303,13,1,100,94.2,72293.4,581835.8,6525.7,551.3
Multifamily Housing,0,171981,11,1,100,36.7,1664.1,1781807.6,5902.1,529.1
Multifamily Housing,0,60205,84,1,100,95.8,48969.8,243003.3,5935.6,333.3
Multifamily Housing,0,103677,97,1,100,62,1682.8,437351.9,3643,489.8
Multifamily Housing,0,50754,93,1,100,93.4,39196.7,184244.3,3240.4,272.2
Multifamily Housing,0,150000,89,1,100,71.4,86195.5,556927.2,8207.6,630
Multifamily Housing,0,150000,89,1,100,71.4,86195.5,556927.2,8207.6,630
Multifamily Housing,0,58585,93,1,100,90.9,44841.3,235157.4,3439.5,308.9
Multifamily Housing,0,48000,84,1,100,102.9,43604.7,162583.1,2559.8,279.8
Multifamily Housing,0,48000,84,1,100,102.9,43604.7,162583.1,2559.8,279.8
Multifamily Housing,0,62000,92,1,100,98.4,52015.8,256165.4,4156,352
Multifamily Housing,0,70709,82,1,100,87.6,56203.6,175175.3,2856.8,348.3
Multifamily Housing,0,63000,29,1,100,98.5,49748.8,359661.1,5697.3,369
Multifamily Housing,0,60300,81,1,100,86.5,45321.9,193247,5412.2,297.8
Multifamily Housing,0,58840,61,1,100,78.2,37411.3,243380.3,4218.9,271
Medical Office,0,367643,45,1,100,85.9,41703.6,7809255.5,7887.1,2533.7
Multifamily Housing,0,69432,81,1,100,72.8,43966,191467.7,2016.7,289.4
Multifamily Housing,0,77387,60,1,100,164.3,118109,257134.6,7213.5,704.1
Office,0,109857,121,1,100,55.7,21562.2,1139069.8,1765.4,448
Multifamily Housing,0,57600,84,1,100,82.6,41446.2,172918.1,3853,271.2
Multifamily Housing,0,101436,80,1,100,17.2,3207,412365.3,3376.7,137.4
Multifamily Housing,0,122408,66,1,100,81.4,80721,543501.2,4621.5,589.2
Multifamily Housing,0,85300,88,1,100,98.1,64981.3,457311.4,5495.8,500.4
Multifamily Housing,0,139100,61,1,100,17.3,5529,526442.9,8690.1,186
Multifamily Housing,0,140612,57,1,100,18.9,5404.8,605620,7087.3,208
Multifamily Housing,0,69630,11,1,100,72,29066.8,605224.4,1890.3,332.5
Multifamily Housing,0,134293,116,1,100,74.8,48866.2,1496277.7,3578.7,696.3
Multifamily Housing,0,933418,69,7,100,93.3,711737.1,3869114.7,47006.1,5107.7
Multifamily Housing,0,153606,67,1,100,74,88170,484885.5,5629.1,674.8
Multifamily Housing,0,155908,99,8,100,76.8,99355.5,632858.6,5522.6,705.7
Multifamily Housing,0,233437,58,1,100,91.9,191637.9,742666.8,12931.6,1222.3
Multifamily Housing,0,410452,45,1,100,77.7,268958.9,1395456.8,21543.9,1850.8
Multifamily Housing,0,339468,56,1,100,65.9,10952,1149586.3,22871.7,1678.7
Multifamily Housing,0,174900,96,1,100,72.8,96602.3,885956.2,4325.2,773.7
Multifamily Housing,0,43637,91,1,100,90.8,12446.9,226948.1,1710.8,276
Multifamily Housing,0,89812,94,1,100,80.2,53606.2,547035.9,2523.9,443.1
Multifamily Housing,0,115932,60,1,100,97.4,1361.8,1179369.4,5534.8,885.4
Multifamily Housing,0,47975,88,1,100,106,40826.1,309232.8,4575.6,303.5
Multifamily Housing,0,51000,88,1,100,127.5,56207.2,278609.2,5817.6,376
Multifamily Housing,0,62814,78,1,100,91.8,46649.9,316676.9,5538.2,340.3
Multifamily Housing,0,76700,80,1,100,70.8,41770.4,310570.9,2911,328.1
Multifamily Housing,0,73770,59,1,100,93.8,57114,338160.6,6009.8,405.2
Multifamily Housing,0,58000,37,1,100,103.2,49199.7,332688.9,3305.6,353.8
Multifamily Housing,0,157450,23,1,100,75,66561.9,1472524.5,5568.5,789.6
Multifamily Housing,0,71227,28,1,100,91,50838.6,421205.5,399.4,390.6
Multifamily Housing,0,112000,32,1,100,79.6,67986.9,642843.1,5167,544.2
Multifamily Housing,0,200529,46,3,100,77.7,59636.7,2819262.7,17995.1,1131.6
Multifamily Housing,0,56636,82,1,100,102.6,49227.9,228527,2857.6,336.7
Multifamily Housing,0,402290,46,7,100,80.6,127935.7,5762688.7,36811.7,2341.6
Multifamily Housing,0,58800,78,1,100,94.6,46428.3,262468,5249.1,323.7
Multifamily Housing,0,86670,80,1,100,88,66764.4,264995.5,4433.7,434.2
Multifamily Housing,0,127058,59,1,100,21,5675.4,613953.9,5620.9,207.6
Multifamily Housing,0,76334,138,1,100,84.1,52701.9,379558.9,3419.6,382
Multifamily Housing,0,207220,54,1,100,111.4,211322.8,425887.1,7476,1272
Multifamily Housing,0,57909,82,1,100,78.2,35479.4,209800,2342.9,269.3
Multifamily Housing,0,202292,91,1,100,54.2,82684.6,764273.7,6184.9,666.2
Office,0,54968,104,1,100,87.2,15683.4,947341.6,898.8,356.8
Multifamily Housing,0,225567,55,1,100,120,17207.8,2160829.2,1696.6,2050.2
Multifamily Housing,0,42435,92,1,100,122.4,43366,250106.9,4120.1,303.2
Office,0,56340,107,1,100,77,16436.4,781142.9,1482.6,315.3
Multifamily Housing,0,208784,61,1,100,99.7,7201,1598229,8021.4,1585.8
Multifamily Housing,0,57518,82,1,100,94.4,43378,229915.8,3759.1,319.7
Multifamily Housing,0,70110,90,1,100,91.8,57199.3,200418.3,3171.7,364
Multifamily Housing,0,71014,91,1,100,106.5,2877,215710.4,4281.8,563.2
Multifamily Housing,0,61930,80,1,100,77.6,39570.8,198382.2,3328.1,280.7
Multifamily Housing,0,75000,78,1,100,86.8,51582.2,270981.1,3669.9,384.7
Multifamily Housing,0,60000,79,1,100,108.3,55631.8,204068.5,4578.1,373.2
Multifamily Housing,0,53400,78,1,100,77.3,32804.5,181328,2133.7,243.4
Multifamily Housing,0,69000,88,1,100,79.1,46304.3,183369.7,4196.9,316.1
Multifamily Housing,0,56600,88,1,100,92.5,44427.2,159143,3812,300.1
Multifamily Housing,0,71500,81,1,100,90.2,54534.4,180809,4844.4,369.8
Multifamily Housing,0,63000,81,1,100,76.6,39406.7,249455.7,5206.4,283.4
Multifamily Housing,0,53166,86,1,100,105.2,45967,223633.5,3589.7,326.1
Multifamily Housing,0,68090,90,1,100,77.7,44174.3,206099.9,3421.6,307
Multifamily Housing,0,53433,79,1,100,85.7,34789.1,195211.5,3828.2,273.8
Multifamily Housing,0,457946,35,1,100,81.3,13654.5,3422992.7,22058.2,2674
Office,0,69919,114,1,100,58.8,29.8,1201121.5,0,347.9
Multifamily Housing,0,67861,14,1,100,95.8,48088.9,515201.1,3688,400.8
Multifamily Housing,0,134375,116,1,100,137.1,107360.3,2222270.3,21862.6,1221
Multifamily Housing,0,168140,116,1,100,70.4,89036.2,771134,5406.9,719.5
Multifamily Housing,0,79065,80,1,100,79.9,42474.9,601839.8,3485.2,400.7
Multifamily Housing,0,67690,79,1,100,78.2,46974.7,190395.7,3658,302.2
Multifamily Housing,0,127426,59,1,100,156.1,159862.6,1096772,16344.9,1176.9
Multifamily Housing,0,135028,61,1,100,72,78543.7,524035.1,7045.1,573.6
Multifamily Housing,0,100558,63,1,100,79.9,64750.5,452221.6,3326.6,476.9
Multifamily Housing,0,440673,53,1,100,87.5,76681,4233432,31294.7,2723.3
Multifamily Housing,0,655041,32,1,100,70.2,6831.3,6258362.6,25534.6,3436.5
Multifamily Housing,0,108943,34,1,100,71.1,56626.8,582710.1,4329.4,476.4
Multifamily Housing,0,73887,83,1,100,86.9,54398.1,279353.9,7093.8,372
Multifamily Housing,0,164340,78,1,100,76.1,107823.4,514350.4,6592,720.5
Multifamily Housing,0,107686,91,1,100,64.4,56079.3,377324.8,3651.2,409.6
Multifamily Housing,0,77972,57,1,100,83.1,54900.8,281801.9,3542.3,374.4
Multifamily Housing,0,197912,58,1,100,90.3,142551.2,1040427.9,8910.8,1061.9
Multifamily Housing,0,60749,95,1,100,96.4,51724.5,191304.4,2058.1,332.3
Mixed Use Property,0,147600,107,1,100,80.6,59543,1712059.1,5109.2,818.7
Multifamily Housing,0,73121,92,1,100,84.4,50889.5,305064.9,7503.7,361.3
Multifamily Housing,0,299200,60,2,100,143.5,374137.1,1610242.2,24270.5,2453.9
Multifamily Housing,0,73700,65,1,100,70.1,44285.1,217530.1,2790.2,298.2
Multifamily Housing,0,78988,99,1,100,11.4,2102.9,199856.4,2485.7,69.8
Multifamily Housing,0,133000,90,1,100,94.5,4213.5,836131.6,7643.6,964.7
Multifamily Housing,0,225999,59,1,100,50,92853.6,583302,7498.5,663.7
Multifamily Housing,0,57596,60,1,100,77.5,36995.7,227168.3,3597.4,261.9
Multifamily Housing,0,69300,82,1,100,87.1,50606.4,275883,8690.1,351.2
Multifamily Housing,0,88187,96,1,100,33.4,18603.9,311105.3,12300.2,190.7
Multifamily Housing,0,170765,30,1,100,46.3,51949.4,808646.9,13441.7,509.2
Multifamily Housing,0,448800,59,3,100,92.2,344884.1,2084652.8,24889.9,2421.9
