type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
K-12 School,1,122583,89,1,100,71.9,46835.7,1062544.1,12867,596.9
K-12 School,1,103200,108,1,100,62.9,37928.9,596799.9,5605635.9,423.3
K-12 School,1,96000,69,1,100,70.6,48606.1,321600,16625.1,411.7
K-12 School,1,110400,89,1,100,60.7,47402.1,482879.9,6083.3,418.7
K-12 School,1,153600,98,1,100,90.6,93963.1,1021081.4,9371.3,869.8
K-12 School,1,96000,96,1,100,75.5,46424.5,811199.9,8757.4,472.3
K-12 School,1,86400,94,1,100,89,34,360159.9,4834.2,590.1
K-12 School,1,136800,60,1,100,88.6,89502.9,632062.6,3452.4,733.5
K-12 School,1,96000,94,1,100,58.3,1375,431599.9,5137.5,428
K-12 School,1,145200,94,1,100,59.7,60323.4,602611.9,2803.8,541.8
K-12 School,1,106800,88,1,100,45.5,4018,427547.8,6960.1,370.8
K-12 School,1,104400,88,1,100,76.3,1144,428240,35.3,611
K-12 School,1,106800,57,1,100,49.7,31903.5,326240,10159.2,338.1
K-12 School,1,154800,90,1,100,52.8,53721.7,448399.9,86.7,508.9
K-12 School,1,211200,43,1,100,52.3,73116.8,1090707.2,13193.8,704.8
K-12 School,1,303600,94,1,100,99.7,1367,1502399.8,17827.7,2323.4
K-12 School,1,286800,88,1,100,60.8,102826.7,2016799.7,11721.8,1157.1
K-12 School,1,296400,90,1,100,71,149338.8,1213599.9,343.6,1287.4
K-12 School,1,142925,88,1,100,82.2,74744,879199.9,6789.9,744.8
K-12 School,1,162476,61,1,100,68.4,59375.5,1190399.9,11062.9,741.4
K-12 School,1,51660,95,1,100,87.2,225,364260.7,2770.4,347.2
K-12 School,1,116323,88,1,100,74.6,35742.8,1434399.8,7236.8,619.5
K-12 School,1,69905,62,1,100,68,39295.8,237112.6,4245.8,278.1
K-12 School,1,91325,64,1,100,47.7,11.1,316799.9,7611.1,337.9
K-12 School,1,151325,59,1,100,57.3,982.4,623399.9,5608051.4,664.2
K-12 School,1,152525,61,1,100,73.3,458,836639.9,10042.4,859.1
K-12 School,1,187325,53,1,100,42.7,49182.5,900289.6,324.6,521.4
K-12 School,1,195785,88,1,100,51,40859.4,1520942.6,10772.5,706.9
K-12 School,1,117725,56,1,100,45.4,19508.6,1001583.1,40305.6,392.2
K-12 School,1,250800,46,1,100,63.5,95285.4,1313284.4,8578.4,987.2
K-12 School,1,150175,25,1,100,82.5,58893.4,1593599.7,8035.6,852.2
